answer_to_Q1,answer_to_Q2,answer_to_Q3,answer_to_Q4,answer_to_Q5,respondent's_age,respondent's_gender,respondent's_occupation
5,1,10,difference-honoring feminism,No,21,Female,Student
6,2,9,difference-honoring feminism,No,21,Female,Full-time student
1,1,8,difference-honoring feminism,No,20,Female,Student
5,7,6,difference-denying feminism,No,21,Female ,N/A
5,5,7,difference-honoring feminism,No,19,Female ,Librarian 
5,5,10,difference-honoring feminism,No,21,Female ,(1) UH Undergraduate Assistant for Student Engagement (2) iSchool Ambassador
1,2,10,difference-honoring feminism,No,20,Female ,Full-time student
2,5,9,difference-honoring feminism,No,19,Female ,Full-time student
3,7,10,difference-honoring feminism,No,21,Female ,Full-time student
5,5,10,difference-denying feminism,No,21,Female ,Full-time student
